,Batter,Pitcher,Results
0,Mookie Betts,Jacob deGrom,0.3478 +/- 0.021
1,Mookie Betts,Max Scherzer,0.3478 +/- 0.021
2,Mookie Betts,Scott Kingery,0.5272 +/- 0.021
3,Mookie Betts,Justin Verlander,0.3469 +/- 0.021
4,Mookie Betts,Chris Sale,0.3435 +/- 0.021
5,Mookie Betts,Gerrit Cole,0.3581 +/- 0.021
6,Mookie Betts,Patrick Corbin,0.3598 +/- 0.021
7,Mookie Betts,Trevor Bauer,0.3632 +/- 0.021
8,Mookie Betts,Corey Kluber,0.3546 +/- 0.021
9,Mookie Betts,Luis Severino,0.3675 +/- 0.021
10,Mike Trout,Jacob deGrom,0.3593 +/- 0.021
11,Mike Trout,Max Scherzer,0.3593 +/- 0.021
12,Mike Trout,Scott Kingery,0.5388 +/- 0.021
13,Mike Trout,Justin Verlander,0.3585 +/- 0.021
14,Mike Trout,Chris Sale,0.3551 +/- 0.021
15,Mike Trout,Gerrit Cole,0.3696 +/- 0.021
16,Mike Trout,Patrick Corbin,0.3714 +/- 0.021
17,Mike Trout,Trevor Bauer,0.3748 +/- 0.021
18,Mike Trout,Corey Kluber,0.3662 +/- 0.021
19,Mike Trout,Luis Severino,0.3791 +/- 0.021
20,Jose Ramirez,Jacob deGrom,0.3209 +/- 0.021
21,Jose Ramirez,Max Scherzer,0.3209 +/- 0.021
22,Jose Ramirez,Scott Kingery,0.5004 +/- 0.021
23,Jose Ramirez,Justin Verlander,0.3201 +/- 0.021
24,Jose Ramirez,Chris Sale,0.3166 +/- 0.021
25,Jose Ramirez,Gerrit Cole,0.3312 +/- 0.021
26,Jose Ramirez,Patrick Corbin,0.333 +/- 0.021
27,Jose Ramirez,Trevor Bauer,0.3364 +/- 0.021
28,Jose Ramirez,Corey Kluber,0.3278 +/- 0.021
29,Jose Ramirez,Luis Severino,0.3407 +/- 0.021
30,Ryder Jones,Jacob deGrom,0.3146 +/- 0.021
31,Ryder Jones,Max Scherzer,0.3146 +/- 0.021
32,Ryder Jones,Scott Kingery,0.494 +/- 0.021
33,Ryder Jones,Justin Verlander,0.3138 +/- 0.021
34,Ryder Jones,Chris Sale,0.3103 +/- 0.021
35,Ryder Jones,Gerrit Cole,0.3249 +/- 0.021
36,Ryder Jones,Patrick Corbin,0.3266 +/- 0.021
37,Ryder Jones,Trevor Bauer,0.3301 +/- 0.021
38,Ryder Jones,Corey Kluber,0.3215 +/- 0.021
39,Ryder Jones,Luis Severino,0.3344 +/- 0.021
40,Jose Ramirez,Jacob deGrom,0.3209 +/- 0.021
41,Jose Ramirez,Max Scherzer,0.3209 +/- 0.021
42,Jose Ramirez,Scott Kingery,0.5004 +/- 0.021
43,Jose Ramirez,Justin Verlander,0.3201 +/- 0.021
44,Jose Ramirez,Chris Sale,0.3166 +/- 0.021
45,Jose Ramirez,Gerrit Cole,0.3312 +/- 0.021
46,Jose Ramirez,Patrick Corbin,0.333 +/- 0.021
47,Jose Ramirez,Trevor Bauer,0.3364 +/- 0.021
48,Jose Ramirez,Corey Kluber,0.3278 +/- 0.021
49,Jose Ramirez,Luis Severino,0.3407 +/- 0.021
50,Christian Yelich,Jacob deGrom,0.3288 +/- 0.021
51,Christian Yelich,Max Scherzer,0.3288 +/- 0.021
52,Christian Yelich,Scott Kingery,0.5082 +/- 0.021
53,Christian Yelich,Justin Verlander,0.328 +/- 0.021
54,Christian Yelich,Chris Sale,0.3245 +/- 0.021
55,Christian Yelich,Gerrit Cole,0.3391 +/- 0.021
56,Christian Yelich,Patrick Corbin,0.3408 +/- 0.021
57,Christian Yelich,Trevor Bauer,0.3443 +/- 0.021
58,Christian Yelich,Corey Kluber,0.3357 +/- 0.021
59,Christian Yelich,Luis Severino,0.3486 +/- 0.021
60,Alex Bregman,Jacob deGrom,0.3246 +/- 0.021
61,Alex Bregman,Max Scherzer,0.3246 +/- 0.021
62,Alex Bregman,Scott Kingery,0.504 +/- 0.021
63,Alex Bregman,Justin Verlander,0.3238 +/- 0.021
64,Alex Bregman,Chris Sale,0.3203 +/- 0.021
65,Alex Bregman,Gerrit Cole,0.3349 +/- 0.021
66,Alex Bregman,Patrick Corbin,0.3366 +/- 0.021
67,Alex Bregman,Trevor Bauer,0.3401 +/- 0.021
68,Alex Bregman,Corey Kluber,0.3315 +/- 0.021
69,Alex Bregman,Luis Severino,0.3444 +/- 0.021
70,Hector Santiago,Jacob deGrom,0.1173 +/- 0.021
71,Hector Santiago,Max Scherzer,0.1173 +/- 0.021
72,Hector Santiago,Scott Kingery,0.2967 +/- 0.021
73,Hector Santiago,Justin Verlander,0.1164 +/- 0.021
74,Hector Santiago,Chris Sale,0.113 +/- 0.021
75,Hector Santiago,Gerrit Cole,0.1276 +/- 0.021
76,Hector Santiago,Patrick Corbin,0.1293 +/- 0.021
77,Hector Santiago,Trevor Bauer,0.1327 +/- 0.021
78,Hector Santiago,Corey Kluber,0.1242 +/- 0.021
79,Hector Santiago,Luis Severino,0.137 +/- 0.021
80,Francisco Lindor,Jacob deGrom,0.3025 +/- 0.021
81,Francisco Lindor,Max Scherzer,0.3025 +/- 0.021
82,Francisco Lindor,Scott Kingery,0.4819 +/- 0.021
83,Francisco Lindor,Justin Verlander,0.3017 +/- 0.021
84,Francisco Lindor,Chris Sale,0.2982 +/- 0.021
85,Francisco Lindor,Gerrit Cole,0.3128 +/- 0.021
86,Francisco Lindor,Patrick Corbin,0.3145 +/- 0.021
87,Francisco Lindor,Trevor Bauer,0.318 +/- 0.021
88,Francisco Lindor,Corey Kluber,0.3094 +/- 0.021
89,Francisco Lindor,Luis Severino,0.3223 +/- 0.021
90,Matt Chapman,Jacob deGrom,0.3046 +/- 0.021
91,Matt Chapman,Max Scherzer,0.3046 +/- 0.021
92,Matt Chapman,Scott Kingery,0.484 +/- 0.021
93,Matt Chapman,Justin Verlander,0.3038 +/- 0.021
94,Matt Chapman,Chris Sale,0.3003 +/- 0.021
95,Matt Chapman,Gerrit Cole,0.3149 +/- 0.021
96,Matt Chapman,Patrick Corbin,0.3166 +/- 0.021
97,Matt Chapman,Trevor Bauer,0.3201 +/- 0.021
98,Matt Chapman,Corey Kluber,0.3115 +/- 0.021
99,Matt Chapman,Luis Severino,0.3244 +/- 0.021
